pagina_pdf;codigo;descripcion;aec;ex_aec;regimen_importacion;regimen_exportacion;regimen_fisica;unidad
8;0201.20.10.00;- - Cuartos delanteros;10;20E;3,5,6;;;kg
8;0201.20.20.00;- - Cuartos traseros;10;20E;3,5,6;;;kg
8;0201.20.90.00;- - Los demás;10;20E;3,5,6;;;kg
8;0201.30.00.00;- Deshuesada;12;;3,5,6;;;kg
8;02.02;CARNE DE ANIMALES DE LA ESPECIE BOVINA, CONGELADA.;;;;;;
8;0202.10.00.00;- En canales o medias canales;10;;3,5,6;;;kg
8;0202.20;- Los demás cortes (trozos) sin deshuesar:;;;;;;
9;0202.20.10.00;- - Cuartos delanteros;10;;3,5,6;;;kg
9;0202.20.20.00;- - Cuartos traseros;10;;3,5,6;;;kg
9;0202.20.90.00;- - Los demás;10;;3,5,6;;;kg
9;0202.30.00.00;- Deshuesada;12;;3,5,6;;;kg
9;02.03;CARNEDEANIMALESDELAESPECIEPORCINA,FRESCA,REFRIGERADA;;;;;;
9;;O CONGELADA.;;;;;;
9;;0203.1 - Fresca o refrigerada:;;;;;;
9;0203.11.00.00;- - En canales o medias canales;10;;3,5,6;;;kg
9;0203.12.00.00;- - Piernas, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
9;0203.19.00.00;- - Las demás;10;;3,5,6;;;kg
9;;0203.2 - Congelada:;;;;;;
9;0203.21.00.00;- - En canales o medias canales;10;;3,5,6;;;kg
9;0203.22.00.00;- - Piernas, paletas, y sus trozos, sin deshuesar;10;;3,5,6;;;kg
9;0203.29.00.00;- - Las demás;10;;3,5,6;;;kg
9;02.04;CARNE DE ANIMALES DE LAS ESPECIES OVINA O CAPRINA, FRESCA,;;;;;;
9;;REFRIGERADA O CONGELADA.;;;;;;
9;0204.10.00.00;- Canales o medias canales de cordero, frescas o refrigeradas;10;;3,5,6;;;kg
9;;0204.2 - Las demás carnes de animales de la especie ovina, frescas o refrigeradas:;;;;;;
9;0204.21.00.00;- - En canales o medias canales;10;20E;3,5,6;;;kg
9;0204.22.00.00;- - Los demás cortes (trozos) sin deshuesar;10;;3,5,6;;;kg
9;0204.23.00.00;- - Deshuesadas;10;;3,5,6;;;kg
9;0204.30.00.00;- Canales o medias canales de cordero, congeladas;10;;3,5,6;;;kg
9;;0204.4 - Las demás carnes de animales de la especie ovina, congeladas:;;;;;;
9;0204.41.00.00;- - En canales o medias canales;10;;3,5,6;;;kg
9;0204.42.00.00;- - Los demás cortes (trozos) sin deshuesar;10;;3,5,6;;;kg
9;0204.43.00.00;- - Deshuesadas;10;;3,5,6;;;kg
9;0204.50.00.00;- Carne de animales de la especie caprina;10;;3,5,6;;;kg
9;0205.00.00.00;CARNE DE ANIMALES DE LAS ESPECIES CABALLAR, ASNAL O MULAR,;;;;;;
9;;FRESCA, REFRIGERADA O CONGELADA. 10 3,5,6 kg;;;;;;
9;02.06;DESPOJOS COMESTIBLES DE ANIMALES DE LAS ESPECIES BOVINA,;;;;;;
9;;PORCINA, OVINA, CAPRINA, CABALLAR, ASNAL O MULAR, FRESCOS,;;;;;;
9;;REFRIGERADOS O CONGELADOS.;;;;;;
9;0206.10.00.00;- De la especie bovina, frescos o refrigerados;10;;3,5,6;;;kg
9;;0206.2 - De la especie bovina, congelados:;;;;;;
9;0206.21.00.00;- - Lenguas;10;;3,5,6;;;kg
9;0206.22.00.00;- - Hígados;10;;3,5,6;;;kg
9;0206.29;- - Los demás:;;;;;;
9;0206.29.10.00;- - - Colas (rabos);10;;3,5,6;;;kg
9;0206.29.90.00;- - - Los demás;10;;3,5,6;;;kg
9;0206.30.00.00;- De la especie porcina, frescos o refrigerados;10;;3,5,6;;;kg
9;;0206.4 - De la especie porcina, congelados:;;;;;;
9;0206.41.00.00;- - Hígados;10;;3,5,6;;;kg
9;0206.49.00.00;- - Los demás;10;;3,5,6;;;kg
9;0206.80.00.00;- Los demás, frescos o refrigerados;10;;3,5,6;;;kg
9;0206.90.00.00;- Los demás, congelados;10;;3,5,6;;;kg
9;02.07;CARNE Y DESPOJOS COMESTIBLES, DE AVES DE LA PARTIDA 01.05,;;;;;;
9;;FRESCOS, REFRIGERADOS O CONGELADOS.;;;;;;
9;;0207.1 - De aves de la especie Gallus domesticus:;;;;;;
9;0207.11.00.00;- - Sin trocear, frescos o refrigerados;10;20E;3,5,6;;;kg
9;0207.12.00.00;- - Sin trocear, congelados;10;20E;3,5,6;;;kg
9;0207.13.00.00;- - Trozos y despojos, frescos o refrigerados;10;20E;3,5,6;;;kg
9;0207.14.00.00;- - Trozos y despojos, congelados;10;20E;3,5,6;;;kg
9;;0207.2 - De pavo (gallipavo):;;;;;;
9;0207.24.00.00;- - Sin trocear, frescos o refrigerados;10;;3,5,6;;;kg
9;0207.25.00.00;- - Sin trocear, congelados;10;;3,5,6;;;kg
9;0207.26.00.00;- - Trozos y despojos, frescos o refrigerados;10;;3,5,6;;;kg
9;0207.27.00.00;- - Trozos y despojos, congelados;10;;3,5,6;;;kg
9;;0207.4 - De pato:;;;;;;
9;0207.41.00.00;- - Sin trocear, frescos o refrigerados;10;20E;3,5,6;;;kg
9;0207.42.00.00;- - Sin trocear, congelados;10;20E;3,5,6;;;kg
9;0207.43.00.00;- - Hígados grasos, frescos o refrigerados;10;;3,5,6;;;kg
9;0207.44.00.00;- - Los demás, frescos o refrigerados;10;;3,5,6;;;kg
